type,chl_content,SA_cm2,SA_m2,chl_SA
control,410.297,10.499,0.0010499,390796.2663
control,954.532,14.953,0.0014953,638354.8452
control,420.886,7.725,0.0007725,544836.246
control,1700.883,13.297,0.0013297,1279147.928
control,873.406,11.069,0.0011069,789055.9219
control,848.192,10.921,0.0010921,776661.4779
treatment,1857.678,13.307,0.0013307,1396015.631
treatment,1469.856,9.369,0.0009369,1568850.464
treatment,874.984,11.271,0.0011271,776314.4353
treatment,590.459,10.02,0.001002,589280.4391
treatment,1916.8,11.294,0.0011294,1697184.346
treatment,1713.048,11.604,0.0011604,1476256.463